word_1,word_2,articles
she,greets,before
he,made,before
he,has,before
he,has,before
she,s,before
she,shows,before
she,wears,before
she,think,before
he,was,before
he,believes,before
she,says,before
he,went,before
she,s,before
she,doesnt,before
she,thinks,before
she,says,before
she,ll,before
she,is,before
she,describes,before
she,clarifies,before
he,wasnt,before
she,had,before
he,meant,before
he,said,before
she,stood,before
she,was,before
she,met,before
she,says,before
she,met,before
she,worked,before
she,drew,before
she,has,before
she,became,before
she,realised,before
she,was,before
she,and,before
she,now,before
she,keeps,before
she,had,before
she,was,before
she,left,before
she,joined,before
she,wrote,before
she,published,before
she,was,before
she,invented,before
she,think,before
she,adopts,before
she,speaks,before
she,s,before
she,s,before
she,wants,before
she,is,before
she,was,before
she,advised,before
she,says,before
she,was,before
she,has,before
she,wrote,before
she,is,before
she,has,before
she,is,before
she,is,before
she,says,before
she,says,before
she,was,before
she,warns,before
she,was,before
she,made,before
she,says,before
she,argues,before
he,fielded,before
she,wears,before
she,says,before
she,say,before
she,lacks,before
she,laughs,before
he,had,before
he,was,before
he,continues,before
he,also,before
she,said,before
she,was,before
she,said,before
she,said,before
she,said,before
she,said,before
she,said,before
she,said,before
she,said,before
he,said,before
he,said,before
he,led,before
he,has,before
she,started,before
she,submitted,before
he,touched,before
he,also,before
she,said,before
he,was,before
she,complained,before
he,was,before
she,said,before
he,lurched,before
he,responded,before
he,looked,before
he,said,before
he,countered,before
she,decided,before
he,was,before
she,wrote,before
he,had,before
she,had,before
she,had,before
she,had,before
she,was,before
she,told,before
he,loved,before
he,was,before
he,sent,before
she,repeatedly,before
she,was,before
she,looked,before
he,was,before
he,said,before
he,was,before
she,felt,before
she,rejected,before
he,emailed,before
he,loved,before
he,believed,before
she,repeatedly,before
he,was,before
she,would,before
he,is,before
she,said,before
he,misconstrued,before
he,actually,before
he,did,before
he,added,before
she,welcomed,before
she,covered,before
she,wouldnt,before
she,used,before
she,eventually,before
he,was,before
she,said,before
she,hopes,before
she,said,before
she,felt,before
she,had,before
she,said,before
he,was,before
she,said,before
she,said,before
she,said,before
he,didnt,before
he,groped,before
she,misinterpreted,before
she,knows,before
she,said,before
she,faced,before
she,faced,before
she,was,before
she,felt,before
she,said,before
she,published,before
she,shouldn,before
she,appeared,before
she,was,before
she,has,before
she,represented,before
she,was,before
she,gives,before
she,keep,before
she,informed,before
she,was,before
she,was,before
he,added,before
he,said,before
he,stepped,before
he,described,before
he,said,before
she,said,before
she,stressed,before
she,said,before
she,pointed,before
she,said,before
he,said,before
she,added,before
she,said,before
he,added,before
he,would,before
he,had,before
he,had,before
he,said,before
she,obtained,before
she,said,before
she,said,before
he,said,before
she,had,before
he,was,before
he,had,before
he,still,before
she,was,before
she,only,before
she,had,before
she,was,before
he,barred,before
she,was,before
she,spent,before
he,had,before
he,didnt,before
she,had,before
she,had,before
she,had,before
he,abused,before
she,was,before
she,was,before
he,then,before
she,appeared,before
he,directly,before
she,did,before
she,still,before
she,had,before
she,said,before
she,considered,before
she,said,before
he,was,before
he,and,before
he,said,before
he,said,before
he,said,before
he,had,before
he,claimed,before
she,began,before
she,alleged,before
she,was,before
she,was,before
she,claimed,before
she,could,before
she,was,before
she,had,before
she,truly,before
she,was,before
she,slept,before
he,had,before
he,said,before
she,intervened,before
he,was,before
he,resigned,before
she,felt,before
she,s,before
she,could,before
she,claims,before
he,was,before
he,couldnt,before
she,posted,before
she,helped,before
she,was,before
he,said,before
he,said,before
he,goes,before
he,added,before
she,tweeted,before
she,is,before
she,was,before
she,was,before
she,is,before
she,remains,before
she,had,before
she,was,before
she,told,before
she,knew,before
she,spoke,before
he,has,before
he,tells,before
he,reassures,before
he,was,before
he,asked,before
she,was,before
she,seemed,before
she,was,before
he,hosts,before
he,is,before
he,s,before
he,s,before
he,was,before
he,has,before
he,had,before
he,had,before
he,was,before
he,had,before
he,said,before
he,lingwood,before
he,did,before
he,considered,before
he,had,before
he,added,before
he,s,before
he,should,before
she,said,before
he,added,before
he,has,before
he,says,before
he,drugged,before
he,was,before
he,said,before
he,also,before
he,said,before
he,suspected,before
he,strongly,before
he,said,before
he,felt,before
he,would,before
she,was,before
she,repeatedly,before
she,tried,before
he,had,before
he,had,before
he,found,before
she,testified,before
she,had,before
she,accepted,before
she,had,before
he,said,before
she,was,before
she,said,before
she,stopped,before
she,could,before
she,feigned,before
she,said,before
she,consented,before
he,said,before
he,said,before
he,said,before
he,would,before
she,said,before
he,has,before
he,was,before
he,said,before
he,said,before
she,has,before
she,s,before
he,declined,before
he,sexually,before
he,s,before
he,fondled,before
he,was,before
he,admitted,before
she,was,before
he,gave,before
he,reportedly,before
he,wants,before
she,speaks,before
he,has,before
he,co,before
he,drugged,before
she,claims,before
he,admitted,before
he,said,before
he,only,before
he,dropped,before
he,acknowledges,before
he,said,before
he,would,before
he,said,before
she,claims,before
he,is,before
she,says,before
she,accepted,before
she,claims,before
he,urged,before
she,claims,before
he,put,before
she,would,before
he,could,before
she,said,before
she,claims,before
she,believed,before
she,trusted,before
she,went,before
she,witnessed,before
he,gave,before
she,also,before
she,reported,before
she,said,before
she,tried,before
she,didnt,before
she,bottled,before
he,stressed,before
she,and,before
she,had,before
she,did,before
she,called,before
he,said,before
she,was,before
he,drugged,before
he,leaned,before
he,entered,before
he,took,before
she,claims,before
she,had,before
she,claims,before
he,reached,before
he,put,before
he,and,before
he,was,before
he,was,before
he,was,before
he,stressed,before
he,said,before
he,said,before
she,did,before
she,tweeted,before
he,was,before
he,said,before
she,added,before
she,told,before
she,shared,before
he,said,before
she,will,before
she,had,before
she,didnt,before
he,wanted,before
he,approached,before
she,would,before
he,gave,before
he,and,before
he,took,before
she,complained,before
she,found,before
she,asked,before
he,didnt,before
he,replied,before
she,told,before
she,didnt,before
she,realised,before
she,d,before
he,just,before
he,said,before
he,apologised,before
he,didnt,before
he,told,before
he,didnt,before
she,realised,before
she,d,before
she,questioned,before
he,treats,before
she,likes,before
he,was,before
he,gave,before
he,said,before
he,has,before
he,may,before
she,said,before
he,is,before
she,was,before
he,argues,before
she,reveals,before
she,is,before
he,is,before
he,viciously,before
she,was,before
she,rejected,before
she,taught,before
she,married,before
she,went,before
she,wrote,before
she,travelled,before
she,became,before
she,wrote,before
she,also,before
she,railed,before
she,said,before
she,was,before
she,perceived,before
she,was,before
she,received,before
she,was,before
she,is,before
she,married,before
she,recounted,before
she,was,before
she,wrote,before
she,shared,before
she,wrote,before
he,said,before
he,felt,before
she,had,before
she,was,before
she,filed,before
he,would,before
she,written,before
she,detected,before
she,found,before
she,received,before
she,writes,before
she,began,before
she,was,before
she,was,before
she,wrote,before
she,entered,before
she,calls,before
she,learned,before
she,says,before
she,is,before
she,thinks,before
she,supporters,before
she,hesitates,before
she,tell,before
she,was,before
she,still,before
she,feels,before
she,received,before
she,says,before
she,thought,before
she,knew,before
she,says,before
she,believes,before
she,had,before
she,had,before
she,included,before
she,could,before
she,could,before
she,would,before
she,was,before
she,would,before
she,fought,before
she,subsequently,before
he,saw,before
she,went,before
she,says,before
he,was,before
she,thinks,before
he,is,before
he,was,before
he,is,before
she,had,before
he,denied,before
she,and,before
she,was,before
he,was,before
she,rang,before
she,uses,before
she,was,before
she,later,before
she,loved,before
she,eventually,before
she,had,before
she,couldnt,before
he,taught,before
he,would,before
he,got,before
he,deserved,before
she,d,before
she,filed,before
she,is,before
she,thinks,before
she,believes,before
he,made,before
she,regrets,before
she,was,before
she,says,before
she,isnt,before
she,says,before
she,hope,before
she,drops,before
she,have,before
she,snorts,before
she,says,before
she,might,before
she,intends,before
she,is,before
she,insists,before
she,writes,before
he,declined,before
he,joined,before
he,also,before
he,was,before
he,had,before
he,was,before
he,joined,before
he,immediately,before
he,wrote,before
she,left,before
he,had,before
she,was,before
he,sexually,before
he,didnt,before
he,s,before
he,stole,before
she,wrote,before
she,had,before
she,must,before
she,would,before
she,looks,before
she,took,before
she,can,before
she,puts,before
she,attracted,before
she,famous,before
she,wrote,before
she,completes,before
she,writes,before
she,argues,before
she,read,before
she,consulted,before
she,explain,before
she,says,before
she,calls,before
she,hopes,before
she,almost,before
he,added,before
she,said,before
she,said,before
he,was,before
he,is,before
he,inherited,before
he,later,before
he,inherited,before
he,and,before
he,said,before
he,had,before
he,put,before
he,maintains,before
he,said,before
he,said,before
he,had,before
he,continued,before
he,did,before
he,made,before
he,said,before
he,was,before
he,was,before
he,said,before
he,die,before
he,was,before
she,would,before
he,made,before
he,has,before
she,would,before
he,is,before
he,is,before
he,walks,before
he,turns,before
he,is,before
he,continued,before
she,says,before
he,even,before
he,genuinely,before
he,sat,before
he,didnt,before
he,owns,before
she,walks,before
she,is,before
he,has,before
he,has,before
she,lashed,before
he,has,before
he,s,before
he,has,before
she,said,before
he,regretted,before
he,dismissed,before
he,loses,before
he,has,before
she,noticed,before
she,blamed,before
she,said,before
she,had,before
she,had,before
she,said,before
she,said,before
she,quoted,before
she,said,before
he,was,before
he,calls,before
he,had,before
he,had,before
he,hit,before
he,was,before
he,and,before
he,brought,before
she,spoke,before
he,set,before
he,wasnt,before
he,didnt,before
he,was,before
he,and,before
he,was,before
he,said,before
she,indeed,before
he,said,before
she,tweeted,before
he,said,before
he,told,before
she,said,before
he,considered,before
he,was,before
he,was,before
he,was,before
he,qualified,before
he,was,before
he,was,before
he,wrote,before
he,was,before
he,was,before
he,retired,before
he,founded,before
he,wrote,before
he,was,before
he,was,before
he,is,before
he,is,before
he,admitted,before
he,drugged,before
he,apologized,before
he,was,before
she,was,before
she,was,before
she,accuses,before
she,drifted,before
she,claims,before
he,incapacitated,before
she,claims,before
she,claims,before
she,lost,before
she,drifted,before
she,claims,before
he,was,before
he,ll,before
he,holds,before
she,claimed,before
she,considered,before
he,gave,before
she,was,before
he,drugged,before
he,admitted,before
he,wanted,before
he,also,before
she,told,before
she,had,before
she,said,before
she,also,before
she,said,before
